Artists,Album,Genre,Lyrics,Mood,MoodValue
Jack Johnson,Adrift,Rock,"Your voice adrift, I can't expect To sing As I one I'll follow The leaf that's following sun When weight much you? When ideas really own? Cause moment keeps moving We never meant hold This scene worth waking When I woke You planted body Don't know But somehow feels wrong When said I lonely But rise I'll become sun And I shine upon As one Your voice own, I can't protect You'll sing A verse one ever known Don't afraid Cause one ever sings alone Your weight never much Your ideas always This moment keeps moving We never meant hold",Happy,1
Blue Rodeo,Fools Like You,Rock,So good What Just trying protect And fools like So well practised In deceit Behind high walls stupidity Your endless conceit Behind locked door The sleeping dog beat I hope I see day She satisfies teeth Give back native Their treaty land What preach preach others Why practice firsthand I understand This world mine I must touch Or mind And profits destruction Forever make eyes blind Do bow corporations 'Cause pay bills time God bless Elijah With feather hand Stop stealing Indian land Stop stealing Indian land Stop stealing Indian land,Sad,0
Bob Marley & The Wailers,Three Little Birds,Ska,"Don't worry thing 'Cause every little thing gonna right Singin', worry thing 'Cause every little thing gonna right Rise mornin' Smile risin' sun Three little birds Pitch doorstep Singin' sweet songs Of melodies pure true Sayin' Singin', worry 'bout thing 'Cause every little thing gonna right Singin', worry 'bout thing 'Cause every little thing gonna right Rise mornin' Smile risin' sun Three little birds Pitch doorstep Singin' sweet songs Of melodies pure true Sayin' Singin', worry thing, worry thing, oh! Every little thing gonna right, worry Singin', worry thing, I worry 'Cause every little thing gonna right Singin', worry thing 'Cause every little thing gonna right, I worry Singin', worry thing 'Cause every little thing gonna right Singin', worry thing, oh 'Cause every little thing gonna right",Happy,1
New York Dolls,Trash (live Paris),Rock,"Trash, pick up, take lights away Trash, pick up, take life away Trash, pick up, try take knife away And please, ask I love If know I'm What know Trash, pick up, take lights away Trash, get up, throw love away Trash, pick up, try take knife away And please, ask I love Cause I know I All's I know Trash, pick up, take lights away Trash, pick up, take knife away Trash, pick up, forgot take away And please, ask I love Cause I know I I want wipe And take lover's leap I'll go fairyland I'll go heaven blue But I know I I know I Ah, call loverboy Trash, pick up, take lights away Trash, go pick up, go put knife away Trash, go pick up, give life away Trash, get up, throw love away Trash, pick up, take knife away Trash, pick up, try take away Trash, pick up, take knife away Oh, Trash, whoa-whoa, sweet baby, yeah-yeah Oh, oh, Trash, whoa-whoa, baby, one Trash, pick up, take lights away Trash, go pick up, take knife away Trash, go pick up, oh take lights away Trash, go pick up, take knife away Oh Trash, take knife away Oh Trash, take knife away Oh Trash, take knife away Oh Trash",Happy,1
Kool Moe Dee,Death Blow,Hip Hop/Rap,"To Break dawn To the, the, Times punk Yeah yeah Time settle score To break dawn, another dumb move Ha, ha, ha time boy This you, head head, let's go Here go, beat round 2 Heads punk 'cause comes Me you, face face, head head Mic mic, I like weak shit said To break dawn, beats nitro Lyrics weak, say goodnight 'cho Star Trek shades, man cut joke Let's get serious go broke You still got lock jock like pitbull Victor pull thought Mr. Pitiful Here's mouthwash, g Your mouth smells like jockstrap, C- A-U-S-E, ridin' me, T-O-D-D, junior Moe Dee Stop biting, chewing, swallowing Who hell told could Raise son, I need jock relief Here's toothpick, get jock teeth You swallow it, yeah, finish, burp Now let real man go work 'Cause I'm whip like daddy, beat ya like baby Sick ya like dog, dropping lyrics wit rabies Cut ya like knife 'cause nothin' hype You slice dice ice twice life I'm treat ya like hooker punk, change clothes Put streets wit ya jingling hoes Keep talking I'll keep pimping Just bring money take last whipping How one man dumb You're trying come know come You're young dumb quick tongue You high strung bum come get done I'll wit death blow Kill 'em kill 'em I'll hit ya wit death blow My lyrical beatdown leave ya coma 'Cause can't hang without high school diploma Your brain fatigued, league You're running gas tank E Somebody buy heart 'cause he's petro Take whipping like man brother let go No apologies, tears, violins Get black suits 'cause I ain't smiling I'm shooting gift gab, brother ripped half Soon mic past, live laugh If there's laughter, I'll get last one You loafed lyrics caught bad one So who's got style, look profile You can't dance, can't dress foul Still wearing played 4 finger rings Played fat gold chains things You changed look change gameplan Trying dress still wear name brand Brother, look crazy weak And gets worse hear speak So ain't got chance hell You'll known late LL The man lost one, one often Came wit soft one went coffin A close casket show ya When I finish, mama know ya 'Cause I'm rip limb limb You tombstone read win So RIP, Rest peace, rip 'em D.I.D., dead indeed, 'em A H-I-T, hitman, whatcha hit 'em wit A rhyme silencer, I hit 'em wit death blow If mama said knock out, come You can't win knew I'm send home body bag Wit mic throat jock gag You're here, over, finished, And Marly marl can't save fallin' 'Cause soon came back To break dawn, another dumb move You can't go hard, so-so Todd I'm type guy, oh God It's gets rougher comes weaker Marly hooked beats need Writer bring back hell Because I'm rock L Low life loser, life like luna Lafidasical, lispless luna Tic liver lifeless, living likeness Lusting longing lyrics like Little league, lard larsonist liar Label ledger, left leper liar Bull, lull, lateral learning Laps language latent lurking Language, language, local logo Light laboring, limited local Now LL's laughing stock 'Cause I bit ass last stop I watched fall like Hitler fell And broken L You're records ain't hot shows sell Yo, tell 'em fell L, hard hell You came back thought But think it, whos' daddy Kill 'em... Big daddy, I want none... I 'em wit death blow To break dawn To the, the, the, get",Sad,0
Martina McBride,Anything's Better Than Feelin' The Blues,Country,"I sent dozen roses Right office closes Just make girlfriends green envy Ever since I lost All crazy things I I even know I me... Oh Hey right It's another Saturday night Got nobody... got nothin' lose I'm gonna get dressed go downtown Spread little misery round Anything's better feelin' blues Found restaurant way Told 'em birthday Just hear waiters sing off-key I've sprung loose wire... that's fact Got strange little monkey back But I kinda like company... I guess Hey, right It's another Saturday night Got nobody... got nothin' lose. I'm gonna get dressed go downtown Dance little monkey around Anything's better feelin' blues Hey right. It's another Saturday night Got nobody... got nothin' lose. I'm gonna get dressed go town Live never live Anything's better feelin' blues Anything's better feelin' blues",Happy,1
April Wine,Babes In Arms,Rock,"You got hands pockets You're whisperin' lies ear Such promiscuous intentions Don't mistake someone cares There times I fooled myself, yeah Thinkin' I someone else Hard days, cold nights Nothin' I could do, yeah Love like babes arms Yes, true, that's right, true, yes, true, ooh Such restless condition The way turnin' Love 'em, tease 'em, wrong reasons You know bore There times I told There really no-one else Hard days, cold nights Nothin' I do, ooh Love like babes arms Yes, true, true baby, true, yes, true, look Is kind shakedown? You know I really care But, push hard, girl Yeah, know fair There times I fooled Thinkin' no-one else Hard days, cold nights There's nothin' I could do, ooh Love like babes arms Yes, true, true, come on, come on, come Hard days, cold nights Nothin' I Love like babes arms Yes, true, yes yes, true Hard days, cold nights Oh, there's nothin' I could do, yeah Love like babes arms Yes, true, yes true, you, Hard days, cold nights",Happy,1
Mariah Carey,Honey,Pop,"Oh, oh, honey got hooked I like Oh, oh, oh, oh Mmm, ooh, la da da Yeah, da da da Ooh, la da da da La da da da, ooh Oh want If simply ask And one makes come running 'Cause got far beyond compare, oh And like honey When love comes Oh baby, I've got dependency Always strung another taste honey It's like honey washes You know sugar never ever sweet And I'm dying ya, crying ya, I adore ya One hit love addicted Now I'm strung darling, see? Every night day, I hardly wait For another taste honey Honey I can't describe How good feels inside Honey I can't describe How good feels inside I can't elusive honey 'Cause blatant I'm feeling And hard leave abruptly 'Cause thing I wanna And like honey When love comes Oh baby, I've got dependency Always strung another taste honey It's like honey washes You know sugar never ever, sweet And I'm dying ya, crying ya, I adore ya One hit love addicted Now I'm strung darling, see? Every night day, I hardly wait For another taste honey Harlem World, stop For Mariah, fire Harlem World, stop So Mariah, take us higher Harlem World, stop For Mariah, fire Harlem World, stop So Mariah, take us higher Breakdown Whoa whoa, every little thing Now, gonna right Is gonna smooth out, c'mon Oh oh, honey got hooked MC, stop It's like honey washes You know sugar never ever sweet And I'm dying ya, crying ya, I adore ya One hit love addicted Now I'm strung darling, see? Every night day, I hardly wait For another taste honey It's like honey washes You know sugar never ever sweet And I'm dying ya, crying ya, I adore ya One hit love addicted Now I'm strung darling, see? Every night day, I hardly wait For another taste honey It's like honey washes You know sugar never ever sweet And I'm dying ya, crying ya, I adore ya One hit love addicted Now I'm strung darling, see? Every night day, I hardly wait For another taste honey",Happy,1
Black Flag,Out Of This World,Rock,"I'm world And I'm never comin' back Ever since day side road I got smile face I'm Never coming Never coming Never coming I'm leaving today I'm never coming back Killed girl side road I'm cold I'm never coming I'm cold I'm never coming... I love I love I love I love I love I love I love I never love I never love I never never never never never What I mean say What I tried say Is I never never got way I'm world And I'm never comin' back Ever since day side road I got smile face I'm Never coming Never coming Never coming Lucifer got hold He said ""come boy, I'm gonna set free"" I'm cold I'm never coming I'm cold I'm never coming... Now I'm lookin' sun Lookin' sun I got hung dried sun lookin' sun Someone took joyride Led straight ditch I'm world And I'm never comin' back Ever since day side road I got smile face I'm Never coming Never coming Never coming Superfine double-time working machine I big bad plan real cool dream I'm cold I'm never coming I'm cold I'm never coming... Why I'll suckin' little red rock By side road Curled puddle blood Gonna save soul I'm cold I'm never coming I'm cold I'm never coming... I'm cold I'm never coming I'm cold I'm never coming",Sad,0
Neil Diamond,Song Sung Blue,Rock,"Song sung blue Everybody knows one Song sung blue Every garden grows one Me The subject The blues But take blues make song You sing Sing Song sung blue Weeping like willow Song sung blue Sleeping pillow Funny thing, But sing cry voice And know, got feeling good You simply got choice Me The subject blues But take blues make song You sing Song sung blue Weeping like willow Song sung blue Sleeping pillow Funny thing, sing cry voice And know, start feeling good You simply got choice Song sung blue Song sung blue Funny thing, sing cry voice And know, start feeling good You simply got choice",Happy,1
Evanescence,Good Enough,Rock,"Under spell I can't say Crave heart bleeding hand I can't say Shouldn't let torture sweetly Now I can't let go dream I can't breathe I feel Good enough I feel good enough For Drink sweet decadence I can't say And I've completely lost I mind I can't say Shouldn't let conquer completely Now I can't let go dream Can't believe I feel Good enough I feel good enough It's long time coming, I feel good And I'm still waiting rain fall Pour real life 'Cause I can't hold anything good enough Am I good enough love too? So take care ask 'Cause I can't say",Happy,1
Lighthouse Family,Ocean Drive,Pop,Say true Black blue I share situation Keep hold Emotions Will make us cry And go But I know What know It ain't serious anyway When clouds arrive we'll live Ocean Drive Don't know You're blue The suns gonna shine everything And sky Is blue The suns gonna shine everything He left Black blue Without word explanation And took love For granted He left high dry But know Someday Well wonder You see anyway When day arrives we'll live Ocean Drive Don't know You're blue The suns gonna shine everything And sky Is blue The suns gonna shine everything Don't know You're blue The suns gonna shine everything And sky Is blue The suns gonna shine everything Don't know You're blue The suns gonna shine everything And sky Is blue The suns gonna shine everything,Happy,1
Hatebreed,Mark My Words (Album Version),Rock,"I blind. I see truth. I unable see life used. To something miniscule. Everything I thought definite, I thought real thrown away remembered among unpaling hatred. Consider suffering. Through pain. Remember face. I'm digging grave. Since sacred, Turning something wrong. Something important me. Cheapened exploited. I way, I can't, I can't way again. I can't, I won't, I never let it. For rest fucking Life mark words.",Sad,0
Small Faces,Itchycoo Park,Rock,"Over Bridge Sighs To rest eyes shades green Under dreaming spires To Itchycoo Park, that's I've I got high Well, I cried Tell It's beautiful It's beautiful It's beautiful It's beautiful I feel inclined blow mind Get hung up, feed ducks bun They come groove Be nice fun sun I'll tell I'll I'd like go You miss school Why go learn words fools? We'll get high We'll touch sky I'll tell It's beautiful It's beautiful It's beautiful It's beautiful I feel inclined blow mind Get hung up, feed ducks bun They come groove Be nice fun sun It's beautiful It's beautiful It's beautiful Ha It's beautiful It's beautiful It's beautiful It's beautiful It's beautiful It's beautiful It's beautiful It's beautiful",Happy,1
The Rolling Stones,Stop Breaking Down (1994 Digital Remaster),Rock,"Ev'ry time I'm walking street Some pretty mama start breaking me. Stop breaking down, baby, please, stop breaking down. Stuff gonna bust brains out, baby, Gonna make lose mind. You Saturday night women, now, ape clown, You nothing tear reputation down. Stop breaking down, mama, please, stop breaking down. Stuff gonna bust brains out, baby, Yeah, gonna make lose mind. I love baby ninety nine degrees, But mama got pistol, laid me. Stop breaking down, baby, please, stop breaking down. Stuff gonna bust brains out, baby, Yeah, gonna make lose mind. Ev'ry time I'm walking street Some pretty woman start breaking me. Stop breaking down, mama, please, stop breaking down. Stuff gonna bust brains out, baby, Gonna make lose mind.",Sad,0
Taking Back Sunday,I Am Fred Astaire (Album Version),Rock,"I'm assumption That I'm gonna one that's leaving you, tonight Well I flipped every switch I could find way Just upset Just make angry Just were... All tired, scream safe Let's get table Fast forward to, say, four o'clock I'm keeping time, I'm holding, we're always holding, We're always holding, holding And that's got us first place You never come alone You never bothered Scream older wiser still filled resentment We get it, get oh... Older wiser still filled resentment We get it, get oh bree ann... I happy, since Well five o'clock floor caught fire footsteps And spread like disease door I'm stuttering I hear you, Well I, I hear good t-t-to stick know And know whole lot this, It could avoided You court-side nightmare Well since I got myself, come listen Older wiser still filled resentment We get it, get oh... Older wiser still filled resentment We get it, get oh I happy, since Well used take much more... It used take much more... I used to, I used to, too...",Happy,1
Cindy Morgan,I Will Be Free (LP Version),Christian,"The mountains steep And valleys low And already I'm weary But I far go Oh, sorrow holds hand And suff'ring sings songs But I close eyes I know Whom I belong Who makes strong I free I free run mountains I free Free drink living fountain Oh, I'll never turn back 'Cause He awaits Oh, I free A wise man, rich man In paupers' clothes A shepherd lead us Through land woes Though many battles I lost So many rivers yet cross But eyes behold Son Who bore loss, Who paid cost Oh, I free I free run mountains I free Oh, free drink living fountain Oh, I'll never turn back 'Cause He awaits Oh, I free Oh, oh, I'll dance silver moonlight And I'll walk velvet fields Oh, I'll run arms The arms set free Oh, I free run mountains I free Free drink living fountain Oh, I'll never turn back 'Cause He awaits Oh, I'll never turn back Don't ever turn back 'Cause someday, someday we're gonna see That free",Happy,1
Coldplay,The World Turned Upside Down,Rock,"X Y The land, sea, rivers, trees, stars, sky That We're part bigger plan Don't know Don't know You The land, sun, trees, sky, stars, sea 365 degrees I puzzle, missing piece Hang minute, minute, please I'll come And everything sun And everything sun What feeling I can't explain? And I never gonna sleep again? What thing I've never seen before? A little boy lost breaking storm Pilots away fly To write name summer sky Life really begun Life comes And everything sun X Y The land, sea, rivers, trees, stars, sky 365 degrees All surface underneath Searching mellow outsings key, ah And everything sun And everything sun What feeling I can't explain? And I never gonna sleep again? What thing I've never seen before? A little boy lost breaking storm Pilots away fly To write name summer sky Life really begun Life comes And everything sun And know born Can't see calm storm Can't tell right side wrong Can't see wave riding",Happy,1
Deftones,Korea (LP Version),Rock,I taste much better Off teeth taste Of white skin red leather Check claws got Night time cavity To come Downtown pony Work pitch I came feathers Like leaves taste You rubbed together With claws like got Night time cavity To come Downtown pony Work pitch Daytime dancer I'll come inside Got teacher Now carve niche Check claws It's It's Your turn come inside Night time cavity To come Downtown pony Work pitch Daytime dancer I'll come inside Got teacher Carve niche,Happy,1
4Him,He Never Changes,Christian,"You stand abandoned, friends gone Fairweather companions left alone This world full changes cut heart soul But pain Jesus remains And situation know He never changes, He's always Through ages, He always remains Forever constant, forever friend Forever faithful, His love knows end He never changes, He's always A God amazing I can't comprehend The depth His mercies grace end I'm awed thought I'm formed image Him But humanity brings knees And I find that's His strength begins As surely summer breezes come go There'a cold lonely winter wind that's bound blow But turning seasons You never alone",Happy,1
Tammy Wynette,It Is No Secret (What God Can Do),Country,The chimes time ring news another day Someone slipped fell someone You may long added strength courage renew Do dishearteded I bring hope It secret God he's done others he'll With arms wide open he'll pardon secret God With arms wide open he'll pardon secret God,Sad,0
Billie Jo Spears,'57 Chevrolet,Country,"Come look old faded photograph Honey, tell brings mind It's picture '57 Chevrolet I wish could ride one time I still get excited I think The drive-in picture shows took But I recall lot movie stars Mostly old Chevrolet They make cars like used I wish still today The love first tasted, good love we're still living We owe old '57 Chevrolet Remember used park lane And listen country radio We'd hold singer sang And we'd stay like 'til time go Now makes sad think good old days gone Although love still strong today But world would lot lovers hanging If still made '57 Chevrolets They make cars like used I wish still today The love first tasted, good love we're still living We owe old '57 Chevrolet We owe old '57 Chevrolet We owe old '57 Chevrolet We owe old '57 Chevrolet",Happy,1
White Heart,Speed Of Sound (Emergency Broadcast Album Version),Christian,"With instruments hand We'll cut across land Let's make noise united States emergency Spiritual urgency Set wires cue band We'll take message Lord We'll singing, voices ringing His love shining every chord We ain't slowin' down, comin' speed Of sound No time hesitate Get late Somewhere there's someone needs Hear There everywhere Must let 'em know He cares His power's music Wait Let's take message Lord Let doubt we're singin' About His love shining every chord No stoppin' us now, comin' speed Sound Let's take message Lord We'll singing, voices ringing His love shining every chord We ain't slowin' down, comin' speed Of sound",Happy,1
Thrice,All That's Left,Rock,"One day dreamers died within us When answers never came We hid truth beneath skin Our shadows never looked A ghost that's left Of everything swore never would forget We tried bleed sickness, drained hearts instead We are, dead And stop bleeding We held hearts flame We help call treason After fill frames After shadows never looked A ghost that's left Of everything swore never would forget We tried bleed sickness, drained hearts instead We are, dead In summers past we'd challenge fate With higher pitch perfect aim And standing fast, we'd radiate A light loved never named But answers never came Our shadows never looked A ghost that's left Of everything swore never would forget We tried bleed sickness, drained hearts instead We are, dead A ghost everything thought never said We tried bleed sickness, drained hearts instead We ones lost faith We dug early grave We dead, saved?",Happy,1
Eleanor McEvoy,Easy To Lose Hope,Rock,"I My home town's dear me, always sight My city's shadows walk around broad daylight They'll even shoot woman writes So pay civil liberty life So hard easy lose hope everyone So bad easier never take But can't give And can't lose hope And cannot hide away We overcome But must strong And must afraid II You must ever stop search peace within 'Cause find it, there's better prize win In losing peace mind losing everything Don't draw away whatever shape So hard easy lose hope everyone So bad easier never take But can't give And can't lose hope And cannot hide away We overcome But must strong And must afraid III With songs stories brushed aside The nature beast tried hide With ugliness city fight How could leave mother wife? So hard easy lose hope everyone So bad easier never take But can't give And can't lose hope And cannot hide away We overcome But must strong And must afraid We must afraid We must afraid But can't give And can't lose hope And cannot hide away We overcome But must strong And must We must afraid We must afraid",Sad,0
MxPx,Drum Machine Joy,Rock,"Drum machine joy - Drum machine joy Soon Goodness King heal heart From within castle warm hearth Granting Hope Wisdom soul The evil spell sadness broken In heart, there's world sadness I love heart In heart words I promise To love heart, And Drum Machine Joy Soon Goodness King heal heart From Northern Kingdom comes faint sound Growing stronger hearth The chorus King come heal heart In heart, there's world sadness I love heart In heart words I promise To love heart, And Drum Machine Joy",Happy,1
Electric Light Orchestra,Queen Of The Hours (2001 Digital Remaster),Rock,"Queen hours lies waiting wind To blow away veil time Slowly threads age Are starting unwind Queen hours, along, along, along The path time, time She still, clock shall tell tale When well, well Black night came East And caused land sleep Riding storm It carved message Isabella Creek Queen hours, along, along, along The path time, time She still, clock shall tell tale When well, well Dawn death wish night passed away It left sacred flower Opened grave bowed Its life unto queen hours",Sad,0
Bone Thugs-N-Harmony,2 Glocks,Hip Hop/Rap,"Bone Thugs~N~Harmony BTNHResurrection Krayzie Get 'cha gun, get 'cha gun, kill 'em all... Fuck (Fall death, Death) niggas guns might get shot . Get 'cha gun, get 'cha gun, kill 'em all... You could (Fall death, Death) first feel heat see much got I still thuggish ruggish, nigga. Dressed black khakis, fatigues, And boots. Still give fuck law. Still run pump Car fuck are! You fuckin' couple niggas that's really Insane. I'm talkin' loco, Krayzie hell-it ain't name-It's game. We done loosened couple strings shook couple screws loose Brain. Besides that, man ain't nothin' changed. Look now, I'm still Thug, nigga I still smoke bud. You know I still represent St. Clair Wig-split, shit, nigga what? This Bone Thug. Niggas thinkin' I told ya We put like that. And whoever got fuck prove it, And keep movin'. Guess who's back house? Original Cleveland Criminals niggas send 'em subliminal messages like ""Murda, Mo Murda Murda!"" Never forgot come from. Watch move tongue. Cause I got niggas that's ready jump ass smash crash. Protect My niggas Combat, Leather Face 'cha ass like I heat-seeker, quickly The reaper peep you, sweep feet Cleveland. Layzie I smoothest lil' nigga, meet . But nigga, fuck Me, I'ma fuck you. Introduce heat. I sweep street. When I draw down, let hear ya say ""Fuck Law!"" now. Rawest niggas Town, ready thug go down. ""Go pound pound,"" nigga that's motto. Let see throw things real, nigga, keep real. Show Your game. I'm sure gon' claim fuck mine, nigga I'll take it. Grab player-hater neck, choke try break it. Gimme Money, drop keys, jack-move bitch! And since haters ain't got No business that's attack shit. Nigga we'll smack bitch Middle Grammy. And media might ban me. Nigga Mo Thug Family For real. Krayzie Get 'cha gun, get 'cha gun, kill 'em all... Fuck (Fall death, Death) niggas guns might get shot . Get 'cha gun, get 'cha gun, kill 'em all... You could (Fall death, Death) first feel heat see much got Bizzy Pull up, sit up, get count money. 'Fore gets spent up. And wanna get rid hood bitch game. And every bitch said I'm Good bitch fuckin' wood grain. Everybody still playin' hood game Quiet. Especially tired. My environment ain't Nothin' niggas dyin' chemical-fed injections Jasper, Texas. Split niggas different sections. Don't hate message. Destiny Led mimic, chastity daughter. Wad nigga's sherm, come listen To sermon. Swervin' Surburban, lick bottle. But Everybody know I got problems. Had dreams Apollo. The fiends Faith me. Suckas run. A nigga insane. Niggas still Me-Bone. Somehow turn up. Run get sign. Run blindly, elevate Through time, nowhere hide. Flesh Our dawgs finna haul lead, sawed-off head. Nigga, drippin', soakin' With bloodly body beggin' me. You know capped like 2Pac With glock. They're deadly. Better upset thug mentality, sucka. You Know done fucked up, niggas? Runnin' blastin' gas craters. What fuck thought saw head sky? Could Bird, maybe even plane. For untamed, insane human, 5th Dawg. Fuck thought, muthafuck fame, fact shit phat game Goin' remain number one Land. Flesh, strangle gang. Bang-bang, bang! I dropped five guards name Lord, I say. Now many times I Have slay today? Will I raise gauge? Oh God! How I teach 'cha, It's tactics daily practice. They gonna let you. Don't it? Have it! Runnin' sons bastards! Blast it! We sons assassins, match It, collecting cash. That's true, feeling that, niggas said Babies ge T million. Struggle villain, hit 'em venomous blow! I call My mighty archangel. Gonna surround soul, go calico yo! We Tightest, know Mo' Mighty. Yes, trues humbly united. My family never Divided: Desperado, Thug Line, Mo Thug, Millennium, 7th Sign. For FBI, Wanna come test Enterprise? Bitch, better go think twice, open Your muthafuckin' eyes! These niggas can't fuck 5th Dawg, finna Parlay! Everyday stormin' way, better lay low, might duck When I buck gauge! Can't see niggas ball day. Since Havin' ball day, muthafuckas player hate! Krayzie Get 'cha gun, get 'cha gun, kill 'em all... Fuck (Fall death, Death) niggas guns might get shot . Get 'cha gun, get 'cha gun, kill 'em all... You could (Fall death, Death) first feel heat see much got",Sad,0
Rihanna,Good Girl Gone Bad,R&B,"We stay moving around solo Ask us at, know And care All know home 'cause left us You got boys got gone left us alone Now club freaky dress Cats want keep dress Tryna get enough drinks system Take telly make victim Patrón brain Ball player face They shake spot She's another cake Easy good girl go bad And gone Best believe gone forever Don't reason Don't reason You better learn treat us right 'Cause good girl goes bad We die forever He steady flock 'em, oh yeah Got girl home care Won't care , keep home Won't let go nowhere He thinks I'm home I gettin' And I'm finding numbers In jacket pockets Chicks calling house non-stop It's getting control Finally I can't take He finds letter stairs Saying end I packed bag left best friend Easy good girl go bad And gone Best believe gone forever Don't reason Don't reason You better learn treat us right 'Cause good girl goes bad We die forever We stay moving around solo Ask us at, know And care All know home 'cause left us You got boys got gone left us alone Easy good girl go bad And gone Best believe gone forever Don't reason Don't reason You better learn treat us right 'Cause good girl goes bad We die forever We gone forever We gone forever",Happy,1
Nick Cave & The Bad Seeds,Christina The Astonishing (2010 Digital Remaster),Rock,"Christina Astonishing Lived long time ago She stricken seizure At age twenty-two They took body coffin To tiny church Liege Where sprang coffin Just Agnus Dei She soared rafters Perched beam Cried ""The stink human sin Is I bear"" Christina Astonishing Was astonishing She prayed balanced hurdle Or curled ball She fled remote places Climbed towers trees walls To escape stench human corruption Into oven crawl O Christina Astonishing Behaved terrifying way She would run wildly streets Jump Meusse swim away O Christina Astonishing Behaved terrifying manner Died age seventy-four In convent St Anna",Happy,1
Melissa Auf der Maur,The Key,Rock,"Everyone knows We feel There's one person That leads freedom It's time find key leads Do know? Do know? Do know I've found? Do want? Do want? Do want share it? The way The way To use Everyone knows We feel There's one person That leads freedom And time find key leads Your destiny The key, The key, The key, finds Be sure, Be sure, Be sure, use It twists, turns, burns, bruises Everyone knows We feel There's one person That leads freedom And time find key leads Everyone knows We feel There's one person That leads freedom And time find key leads Your destiny... Everyone knows We feel There's one person That leads freedom",Happy,1
System of a Down,Streamline,Rock,"I I I know weather's gonna fine But I can't see 'cross streamline My love waits daytime But I can't see snow blind But I You gone Goodbyes long Goodbye Goodbye I goodbye I goodbye Well, I've known time reveals hindsight I wrestle stormy night Because love lasts lifetime But I see snow blind But I You gone Goodbyes long You gone Goodbyes long Goodbye I I I I You gone Goodbyes long Goodbye Goodbye Goodbye SONG MEANING: This song Serj lost someone loved her, says song. see going life misses her.",Happy,1
Foghat,Zig-Zag Walk,Rock,"Dave Peverett - Pevwrite Music - ASCAP The way walk ain't walkin', something mama allow. Let hips talkin', pretend know how. Ruby red, oh baby blue, Heaven knows I you, When there, doin' Zig-Zag Walk. Stiletto heels stockin's, trace seam top. And daring touch you, I know stop. A little rude, that's say, It must hard keep wolves bay, When there, doin' Zig-Zag Walk. Zig-zag, well kinda move, Big drag I can't cut groove, No stone gonna unturned, When walkin', walkin' a-talkin', Baby, doin' Zig-Zag Walk. Uh, doin' walk. The way love ain't lovin', nothin' heart. Just physical attraction, bulls-eye - I'm dart. At least I know way feel, Don't care nothing love that's real, When there, doin' Zig-Zag Walk. Zig-zag, walk like Marilyn Monroe, Zig-zag, talk like Brigitte Bardot, No stone gonna unturned, When there, walkin' talkin', Baby, doin' Zig-Zag Walk. I said baby, doin' Zig-Zag Walk, Doin' walk... Mmmm, fontastique! Ooh la la la! ? She's walk The Zig-Zag Walk...",Happy,1
The Winans,The Question Is (Album Version),Christian,"The question I ever leave You? The answer no, no, no, no, no, No, no, no, no, no, no, no, no, The question I ever leave You? The answer no, no, no, no, no, No, no, no, no, no, no, no, no, Oh, I love Lord He's dear Oh, He died I might free I asked, question answer still Now question I His will? And yes, yes, yes, yes, yes, yes Yes, yes, yes, yes, yes, yes I home late one night The Lord asked would I His I told Him yes, yes, yes, yes, yes, yes Yes, yes, yes, yes, yes, yes I'm presenting body, living sacrifice All I'm gonna Christ I asked question answer yes The question Jesus return? I want know soon, soon Soon, soon, soon, soon Look crisis Iran Russia's already invaded Afghanistan Soon, soon, soon, soon, soon, soon Oh, I hardly wait Jesus return For His returning heart yearn I asked question answer real soon Now questions I ever leave You Will I Your Jesus return? No yes soon, soon, soon, soon Will I ever leave You, I Your When Jesus return And answer yes soon, soon, soon, soon Oh, questioned Christ coming The answer soon",Happy,1
Toni Braxton,Best Friend,R&B,"Oh, I remember 4th July That's I learned true The stories taboo How could love true And still want life And make sacrifice Now come tell That really sorry And ask life Oh there's way begin Or start love Oh lovemaking tonight Oh sigh Or come cryin' shoulder Should've thought consequences You best friend Oh I recall pain hurt bad I strength live But I young die See I heart broken But never like I admit baby left feeling scorned Now love inside heart fading The trust man best friend betrayed Oh there's way begin Or start love Oh lovemaking tonight Oh sigh Or come cryin' shoulder Should've thought consequences How could And tell love would always Always Oh there's way begin Or start love Oh lovemaking tonight Oh sigh Or come cryin' shoulder Shold've thought consequences You best friend",Happy,1
Republica,Pub Pusher,Electronic,On Heavenly Sunday touches insides He said last thing mind cheat Go Queensway start another fight You know spoils appetite selfish boy Just sit wonder dreams go smoke You're stealing cars selling dope Now sold soul And I'm hanging Mortal Kombat 2 And Haagen-Dazs early Cure How I miss Pub pusher onlookers Call pizza there's pub pusher ground Pub pusher born loser Call doctor there's pub pusher ground Pub pusher tried kill ya Call cops there's pub pusher ground On back there's pub pusher ground Give blood there's pub pusher ground Pub pusher call preacher They believe there's pub pusher ground Pub pusher Pub pusher Pub pusher Pub pusher,Sad,0
Jars Of Clay,Don't Stop,Rock,"You told I hung moon It lonely sliver hanging sky I said I put I didn’t think would make cry Don’t stop, don’t stop Don’t stop, don’t stop My recurring dream Starlight eyes music everywhere I dancing close There days nights we’ve left behind Don’t stop, don’t stop Don’t stop, don’t stop When you’re running, you’re running far away And don’t know love Don’t stop Why hard say need The way I need There days, nights, we’ve left behind And can't run far I won’t reach There places I won’t find Don’t stop, don’t stop Don’t stop, don’t stop You keep running, yeah you’re running far away When I want love You run far, run far, love By light moon I get somehow So don’t stop",Happy,1
